,BERT_label,BERT_score,neg_val,pos_val,neu_val,comp_val,text
11,['NEGATIVE'],[0.973296046257019],0.0,0.0,1.0,0.0,@The3thNation miaomiao666.eth
12,['NEGATIVE'],[0.9947559833526611],0.117,0.161,0.722,0.2023,"RT @WWH66027871: $1600 in $ETH random #Airdrop 

Follow  + RT 🎁

Drop address🏆"
13,['NEGATIVE'],[0.9434464573860168],0.0,0.248,0.752,0.7639,"RT @RaritySniperNFT: Giveaway! 🎉‍
‍
We are giving away 12x PSILO NFTs from @psilonft, worth ~1 ETH! 🤖
‍
To enter:‍
1. Follow @RaritySniperN…"
14,['NEGATIVE'],[0.9890594482421875],0.286,0.0,0.714,-0.5859,"@BSCGemsAlert @InuSaitama @DogelonMars @BabyDogeCoin @FEGtoken @BabyDogeCoin 🔥🔥🚀🚀
#Binance
#kucoin
#ElonMusk… https://t.co/L1rXTadjrg"
15,['NEGATIVE'],[0.9661948680877686],0.0,0.436,0.564,0.8176,"RT @elizajayla: $1000 $ETH  Winners 🎁🏆

Like + Follow me 💯"
16,['NEGATIVE'],[0.9966636300086975],0.077,0.324,0.599,0.7906,"@wroldcryptonews 😎 Frozen Metadata 🏅 ERC-1155 🥇 1/1 🎖️ 0.8 $ETH 🤓
https://t.co/kHThKKHOnW"
17,['NEGATIVE'],[0.9959308505058289],0.0,0.0,1.0,0.0,"https://t.co/hWTbesq628
#NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist… https://t.co/Z4mlmDfQ0q"
18,['NEGATIVE'],[0.9791780710220337],0.0,0.0,1.0,0.0,"RT @Candy_Robbers: There will be only 5000 Candy Robbers! All of them can participate to monthly robberies 🍬

Whitelist &amp; OG Price: 0.069 E…"
19,['NEGATIVE'],[0.9943062663078308],0.323,0.0,0.677,-0.6486,They keep @Algorand the Ethereum Killer. 👀 $algo https://t.co/cg700ZQBZx https://t.co/uDRGgwdnOj
20,['NEGATIVE'],[0.9970327615737915],0.0,0.224,0.776,0.6971,"RT @HodlTarantula: PSA:  
#BITCOIN ON EXCHANGES IS BEING REHYPOTHICATED. 

I KNOW CAUSE THEY ARE  REACHING  OUT TO MINERS LIKE MYSELF FOR L…"
21,['NEGATIVE'],[0.99960857629776],0.204,0.0,0.796,-0.5574,"RT @Quinnvestments: Just since Nov, #MicroStrategy @saylor has lost -$4,173,741,400 on his holding of 129,218 #Bitcoin incl. today's loss o…"
22,['NEGATIVE'],[0.9919440746307373],0.0,0.144,0.856,0.4019,"RT @optionsking8: #ICICIBank our long term investment pick since yesterday.💯
#StockMarket #Nifty
#Sensex #Bitcoin https://t.co/yM9rtek0vd"
23,['NEGATIVE'],[0.9977959394454956],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: Grandpa Ape #3442 (Rank: #4259) bought for 0.619 ETH on OpenSea 🌊 https://t.co/A2Z7JiAyXh 
 #GACC #GrandpaApeCountryClub…"
24,['NEGATIVE'],[0.9987151622772217],0.0,0.0,1.0,0.0,Uck it!! The subdomain possibilities of this UCK.eth #3letter ens domain are endless… #3letterclub https://t.co/MGOSFmPaNf
25,['POSITIVE'],[0.9669824838638306],0.0,0.0,1.0,0.0,The first #Bitcoin  ATM in Mexico has been installed.
26,['NEGATIVE'],[0.9969256520271301],0.0,0.323,0.677,0.8225,"RT @SabianNFT: $3,500 #ETH ✨

Like, Follow Me &amp; Retweet
Show me you have notis on

Winner announced tonight, with proof."
27,['POSITIVE'],[0.9288812875747681],0.077,0.092,0.831,0.126,"RT @officialXQK: 💥Join us on our mission💥

❤️‍🩹Our series of unique NFTs made by a lady that received help when it was needed the most!

✴️…"
28,['NEGATIVE'],[0.9953946471214294],0.0,0.119,0.881,0.4215,"RT @AirdropStario: 💧 Adashe Crypto Airdrop 💧

🏆 Task:        ➕ $5 worth of ADSE for 2000 random participants

👨‍👩‍👧 Referral: ➕ $50 worth o…"
29,['NEGATIVE'],[0.9810282588005066],0.0,0.24,0.76,0.5766,"$BTC $ETH $DOGE  Crowd-sourced alerts, ranking system, and get paid being a top contributor. JOIN CT… https://t.co/FyyiOmJNWD"
30,['NEGATIVE'],[0.9990708827972412],0.098,0.298,0.604,0.6486,@drawpie @elonmusk He is too smart to publicly support or even criticize a project like $ETC. He doesn't understand… https://t.co/oPBjlzTuJI
31,['NEGATIVE'],[0.9969063401222229],0.0,0.211,0.789,0.5859,"RT @yasamurai021: RBXSamurai The only name that shines when it comes to providing Marketing solutions.
🏅
Telegram link
https://t.co/i2UuVzh…"
32,['POSITIVE'],[0.9932461977005005],0.0,0.651,0.349,0.5766,L for me
33,['NEGATIVE'],[0.9852758646011353],0.0,0.0,1.0,0.0,"@Artistwithwords @foundation “Freedom”
0.2 #ETH
https://t.co/Q0kOzlSscW
https://t.co/4aTpLMigOX"
34,['POSITIVE'],[0.9991394281387329],0.0,0.432,0.568,0.5859,"Amazing project
Dm it on @nftplanett"
35,['NEGATIVE'],[0.9938663840293884],0.0,0.267,0.733,0.7906,"RT @itsDozmazek: $1000 #ETH ✨ 

- Like, RT &amp; Follow Myself ( 🔔 )
- Tag A Friend

(Unlimited Entries, 1 Tag = 1 Entry)"
36,['POSITIVE'],[0.9961652755737305],0.119,0.337,0.545,0.6597,"The project seems to have great potential 🔥
Should definitely feature it on @GlobalNftCentre"
37,['POSITIVE'],[0.9788843393325806],0.0,0.283,0.717,0.8436,"RT @AccuseNFT: My huge giveaway! 

To celebrate elon musk buying twitter I’ll give NFT’s or ETH to 20 people who rt , like and follow me!"
38,['NEGATIVE'],[0.8502200841903687],0.0,0.224,0.776,0.636,"RT @akoBABIDO: Discover &amp; Collect Epic Unicorns🦄
Sound On🔊@crypto_unicorns 
#ContentCreatorGenesisEggContest🎉
Join us! https://t.co/sN5yVdE…"
39,['NEGATIVE'],[0.9971563816070557],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: Grandpa Ape #3769 (Rank: #2061) bought for 1.17 ETH on OpenSea 🌊 https://t.co/itCVU5iKwT 
 #GACC #GrandpaApeCountryClub #…"
40,['NEGATIVE'],[0.9947308301925659],0.0,0.0,1.0,0.0,"RT @ZiglaProject: 👽 YOU'RE EARLY 👽

Any Interaction Will Be Considered For WL! 🔔

#NFTs #NFTCommunity #NFTdrop #NFT #NFTGiveaway #Ethereum…"
41,['NEGATIVE'],[0.9973213076591492],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: M1 Mutant Serum bought for 0.21 ETH on OpenSea 🌊 https://t.co/191s17Lzhd 
 #GACC #MACC #GrandpaApeCountryClub #MutantApeC…"
42,['NEGATIVE'],[0.991107165813446],0.0,0.0,1.0,0.0,"RT @Riska_ibusaLsa: Menteri BUMN @erickthohir memberikan rumah utk keluarga korban Mei 1998

Berawal dr Erick beserta jajaran BUMN, termasu…"
43,['NEGATIVE'],[0.9944062232971191],0.0,0.0,1.0,0.0,"RT @AirdropStario: 💧 DaystarCoin Airdrop 💧

🏆 Task:          ➕  Up to 6 DACN (~$30)

👨‍👩‍👧 Referral:   ➕  3 DACN (~$15)

🔛 Airdrop Link &amp; I…"
44,['POSITIVE'],[0.9917055368423462],0.0,0.13,0.87,0.3976,"RT @VitalikButerin: Possibly the biggest attempt at non-token-holder-centric DAO governance so far. Excited to see where this goes.

👀"
45,['NEGATIVE'],[0.9975626468658447],0.048,0.13,0.822,0.5267,"RT @0xHustler: I’ll pay a random person’s rent on 5/1/22 who retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be fo…"
46,['NEGATIVE'],[0.9912025928497314],0.0,0.18,0.82,0.6705,"RT @Promoterhelinss: 🥳  HIZLI ÇEKİLİŞ 🚨

1 Kişiye 100.000 #shiba hediye 🎁

Bu twiti Retweet yap ve beğen❗

@Promoterhelinss hesabını takip…"
47,['NEGATIVE'],[0.9959706664085388],0.108,0.17,0.722,0.296,"RT @iChieTsukiko: Free #NFT giveaway🚨

Drop your $ETH address, Follow &amp; RT https://t.co/nil8D6CIQy"
48,['NEGATIVE'],[0.9745563864707947],0.0,0.228,0.772,0.7345,"RT @MetaRarityNFT: 🎁GIVEAWAY!🎁

Prizes:
🏆 $50 #ETH #Solana
🏆 5x Wrapped Hotels Whitelist Spots

To Enter:
1⃣Follow @WrappedHotels &amp; @MetaRa…"
49,['NEGATIVE'],[0.9903501868247986],0.156,0.0,0.844,-0.34,"RT @emmygy_: $100 in #ETH, 12 hours ⏰

-RT + Follow Me 🔔"
50,['NEGATIVE'],[0.9921771883964539],0.0,0.241,0.759,0.6597,"we are glad to announce that @QuillAudits started a security Audit for Metamerce Project. 

the Audit process will… https://t.co/vNuct2PsUT"
51,['NEGATIVE'],[0.9943144917488098],0.109,0.287,0.605,0.6607,"New Free Options and crypto  Discord! 
LINK IN BIO! JOIN NOW!
https://t.co/gydADeEjGl
$BTC $ETH $ECH $BCH $LTC… https://t.co/BhfsTMfPz6"
52,['NEGATIVE'],[0.9845685958862305],0.116,0.0,0.884,-0.3612,"Looking forward to witnessing #Avax flip $Eth before my funeral which starts countdown to 10year.

1 #BTC = 1 #Monero."
53,['POSITIVE'],[0.9976497292518616],0.0,0.0,1.0,0.0,"RT @rodrigo_hodl: Tell me about a project that brings something unique to the scene 💎

#NFT #NFTs #NFTCommunity #BSCGems #ETHGems #MagicEde…"
54,['POSITIVE'],[0.5207127928733826],0.058,0.337,0.604,0.911,"RT @RealMoneyApe: WIN 0.02 $ETH | 48H🔥

To help you get a hold of a FREE @BEANS_nfts pet on 4/27 we are giving 0.02 ETH!
You'll need it to…"
55,['NEGATIVE'],[0.999681830406189],0.0,0.0,1.0,0.0,"If you understand #Bitcoin, you understand 100k #Bitcoin is inevitable."
56,['POSITIVE'],[0.9971802234649658],0.0,0.464,0.536,0.3818,Promote it on @NftEliteClub
57,['NEGATIVE'],[0.9875049591064453],0.0,0.33,0.67,0.8957,"RT @lalfye: $1000 #ETH ✨ 

- Like, RT &amp; Follow Myself ( 🔔 )
- Tag A Friend

(Unlimited Entries, 1 Tag = 1 Entry)

Winner announced tomorrow."
58,['NEGATIVE'],[0.9434464573860168],0.0,0.248,0.752,0.7639,"RT @RaritySniperNFT: Giveaway! 🎉‍
‍
We are giving away 12x PSILO NFTs from @psilonft, worth ~1 ETH! 🤖
‍
To enter:‍
1. Follow @RaritySniperN…"
59,['NEGATIVE'],[0.9975878000259399],0.0,0.0,1.0,0.0,"RT @findurnemo: They told me I couldn’t list and sell my art at 1 ETH. 

a thread:🧵1/ https://t.co/GyeVB39Nse"
60,['POSITIVE'],[0.9961073994636536],0.0,0.139,0.861,0.5719,RT @ThePhatPenguins: While these fly off the charts.. thought this was a perfect time to announce our next giveaway. When we are fully mint…
61,['NEGATIVE'],[0.9891204833984375],0.0,0.0,1.0,0.0,"@HugoChavez Doors of Destiny - Anime Project #NFTdrop #NFTs #NFTCommunity
https://t.co/h8TXbNT7GP"
62,['NEGATIVE'],[0.9968788623809814],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: M1 Mutant Serum bought for 0.209 ETH on OpenSea 🌊 https://t.co/191s17Lzhd 
 #GACC #MACC #GrandpaApeCountryClub #MutantApe…"
63,['NEGATIVE'],[0.9979436993598938],0.139,0.0,0.861,-0.2732,"RT @johnmorganFL: Bitcoin Price Analysis: BTC still at Risk of Dipping Below $38k

https://t.co/axTgU3gcQ0"
64,['NEGATIVE'],[0.9931915402412415],0.083,0.153,0.764,0.25,"RT @metararity: 🎁#Giveaway🎁

We've partnered with @crazycatznft to give away

$400 (4x $100) #ETH or #Solana
5x Exclusive Crazy Catz WL Spo…"
65,['POSITIVE'],[0.7401524782180786],0.0,0.262,0.738,0.8176,"RT @CliffToken: Congrats to those that were lucky enough to get in the $RED presale. Please remember it ends on 4/29, at 4pm GMT. Any ETH s…"
66,['NEGATIVE'],[0.8564234972000122],0.0,0.0,1.0,0.0,Shout out to my hometown (aka FuNkYToWN)!  Now get that CityCoin and Stacks! @krbecrypto @lee_bratcher… https://t.co/kTSDmbpAlL
67,['NEGATIVE'],[0.9936445951461792],0.086,0.173,0.741,0.4767,"RT @ShibSatoshiWeb5: Drop your $ETH wallets and I'll send $30,000📩

Just RT &amp; Follow me ♥️"
68,['NEGATIVE'],[0.997651994228363],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: Grandpa Ape #4326 (Rank: #3099) bought for 0.88 ETH on OpenSea 🌊 https://t.co/dNq5197ieQ 
 #GACC #GrandpaApeCountryClub #…"
69,['POSITIVE'],[0.986325204372406],0.0,0.127,0.873,0.4404,"RT @thewhitelistio: Tomorrow, Wed., 4/27, at 10am ET, is the start of our 2nd Signature Collection auction supporting Ukrainian refugee rel…"
70,['NEGATIVE'],[0.9995393753051758],0.0,0.0,1.0,0.0,RT @gauchoeddy: #Bitcoin - it doesn't get any simpler than this https://t.co/mVHOb2JuGt
71,['NEGATIVE'],[0.9891360998153687],0.082,0.102,0.816,0.1531,"RT @_arjantit: 111.111 $SHIB 🔥 •|| 3 HOURS ⏳ (SAHUR ÖZEL)

- Son 3 gönderi Rt &amp; Fav 

#NFTGiveaways #NFTGiveaway #BTC #Bitcoin #ETH #AVAX…"
72,['NEGATIVE'],[0.9953946471214294],0.0,0.119,0.881,0.4215,"RT @AirdropStario: 💧 Adashe Crypto Airdrop 💧

🏆 Task:        ➕ $5 worth of ADSE for 2000 random participants

👨‍👩‍👧 Referral: ➕ $50 worth o…"
73,['NEGATIVE'],[0.999477207660675],0.234,0.0,0.766,-0.7003,@viamirror got a 500 error is this something on my end that I did wrong when publishing from mabfire.eth ? https://t.co/SYoBLamhNt
74,['NEGATIVE'],[0.9434464573860168],0.0,0.248,0.752,0.7639,"RT @RaritySniperNFT: Giveaway! 🎉‍
‍
We are giving away 12x PSILO NFTs from @psilonft, worth ~1 ETH! 🤖
‍
To enter:‍
1. Follow @RaritySniperN…"
75,['NEGATIVE'],[0.9920316934585571],0.0,0.0,1.0,0.0,"RT @ibrahim_klc11: https://t.co/SiJbBFyPnU
#NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart…"
76,['NEGATIVE'],[0.985527753829956],0.0,0.237,0.763,0.68,"#Ethereum is like #Bitcoin, but it's for code! It's the #blockchain for smart contracts and it stores immutable cod… https://t.co/0vLNRWUQXG"
77,['NEGATIVE'],[0.9909723997116089],0.07,0.293,0.638,0.8271,"RT @novalaney: $1000 in $BTC  | 24h 🏆

RT + 💛 + Follow 🔥👁‍🗨

Good luck Fam 🍀 #Bitcoin"
78,['NEGATIVE'],[0.9993539452552795],0.081,0.0,0.919,-0.3182,"RT @TIMUS_NFT: Dumping 1 $ETH into 53 random wallets 

👇Follow 
👇Rt and ❤️
👇Drop your addresses https://t.co/sN3v7s4dwj"
79,['NEGATIVE'],[0.9972928166389465],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: M1 Mutant Serum bought for 0.2 ETH on OpenSea 🌊 https://t.co/191s17Lzhd 
 #GACC #MACC #GrandpaApeCountryClub #MutantApeCo…"
80,['NEGATIVE'],[0.9863318204879761],0.0,0.129,0.871,0.5719,"RT @CryptoVonDoom: LFG 👁

To celebrate our new dad AKA Elon Musk buying Twitter for $44,000,000,000 I am going to give 44 people ETH or an…"
81,['NEGATIVE'],[0.9990589022636414],0.128,0.176,0.697,0.2732,"RT @JobPreference: NEED a #JOB?
Sign up now https://t.co/o7lVlsCHXv
FREE. NO MIDDLEMEN
#Jobs #AI #DataAnalytics #MachineLearning #Python #J…"
82,['NEGATIVE'],[0.9907870888710022],0.0,0.334,0.666,0.9106,"RT @frtuff: 🎁 HUGE #NFTGiveaway ‼️

⭐️ We’re Giving Away 3 NFTs worth 0.08 ETH each (free mint) + 10X whitelist 💎

To enter the draw:
1️⃣ J…"
83,['NEGATIVE'],[0.9906973838806152],0.0,0.216,0.784,0.784,"RT @CoinMercegim: 🔍#NFTGiveaway🔍

Prize:
💰1 Free WeSeeGhosts #NFT (0.08 ETH~250$)
📜5 WL Spot's!

🟦To Enter:
1⃣Follow @CoinMercegim &amp; @WeSee…"
84,['NEGATIVE'],[0.9750816822052002],0.0,0.059,0.941,0.3595,"RT @NFTAnonymous1: 🚨 THIS IS A SHILL THREAD ONLY FOR PHOTOGRAPHERS 📸🚨

You don't need to follow me!

✅ Share your art (Image Only)📌
✅ Add p…"
85,['NEGATIVE'],[0.996381402015686],0.094,0.147,0.759,0.296,"RT @subjectiveAi: Free #NFT giveaway🚨

Drop your $ETH address, Follow &amp; RT🔄 https://t.co/pvvMIInkZ2"
86,['NEGATIVE'],[0.9858469367027283],0.0,0.057,0.943,0.3182,RT @DM_NFT_2022: Meet my newly adopted #EVERAIDUO please let me shop for a little while more before floor going back to 1 eth+++ 🙏🏻🙏🏻🙏🏻  pl…
87,['NEGATIVE'],[0.992753803730011],0.055,0.199,0.746,0.763,"That is not a bitch it is banana Witch 🧙‍♀️
Get it on open sea before it escaped to astral 😎
1 out 1 🤟
Unique 😎
Ban… https://t.co/9UrwcSy875"
88,['NEGATIVE'],[0.9941055774688721],0.092,0.296,0.612,0.7177,"RT @xbt_sensei: 🎁GIVEAWAY !🎁

Prizes
🏆20$ in ETH
🏆10 WL

1️⃣Follow @nftvinyls
2⃣Retweet &amp; like
3️⃣Join their Discord: https://t.co/z2KXja95…"
89,['NEGATIVE'],[0.9951712489128113],0.116,0.155,0.73,0.2263,"RT @EricJBushman: Arguments at the #SupremeCourt over #RemainInMexico border policy, @VP Kamala Harris tests positive for #COVID19, and @Ci…"
90,['NEGATIVE'],[0.6970564126968384],0.0,0.0,1.0,0.0,👀
91,['NEGATIVE'],[0.8028532862663269],0.0,0.348,0.652,0.906,"RT @mattgee: ✨ETH GIVEAWAY🚀

to celebrate 20k, i’m sending .05 ETH to 2 people who follow, like, retweet, and tag 3 frens! 🎉

winners picke…"
92,['NEGATIVE'],[0.998795747756958],0.0,0.0,1.0,0.0,"So who Df is satoshi nakamoto?! 

#Bitcoin https://t.co/RiB8WHAE4U"
93,['NEGATIVE'],[0.9969257712364197],0.0,0.0,1.0,0.0,"https://t.co/A9rufdabVI
#NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist… https://t.co/DplvBewdI2"
94,['NEGATIVE'],[0.9796504974365234],0.0,0.24,0.76,0.5766,"$BTC $ETH $DOGE  Crowd-sourced alerts, ranking system, and get paid being a top contributor. JOIN CT… https://t.co/1f7cPhiTBI"
95,['NEGATIVE'],[0.9990869760513306],0.125,0.0,0.875,-0.5719,"RT @CaptainDefi2: 🐵 How hackers are stealing NFTs?

First they call a function to check if you own NFTs, then they require you to send them…"
96,['NEGATIVE'],[0.9838640689849854],0.0,0.0,1.0,0.0,Cuando haces un space de esto en lugar de estar de engañabobos con tu Bitcoin @RicardoBSalinas ?
97,['NEGATIVE'],[0.9255326986312866],0.0,0.114,0.886,0.4019,"RT @TurkInfluencer: 🎉Giving away:

🎁Prize:
🎁0.25 #Sol (25$)

📋To enter:
1️⃣Follow @Monitolor @TurkInfluencer 
2️⃣Like and RT
3⃣Tag 3 friend…"
98,['NEGATIVE'],[0.9974786639213562],0.0,0.0,1.0,0.0,RT @SR_SalesBot: Space Rider #7674 bought for 0.11 ETH on OpenSea 🌊 https://t.co/WECCZXodDC
99,['NEGATIVE'],[0.8836610913276672],0.152,0.0,0.848,-0.3612,"RT @mcqevan: As the saying goes… it happens gradually, and then all at once. 💥"
100,['NEGATIVE'],[0.9980325102806091],0.131,0.1,0.769,-0.1779,"🟩 $ETH block trade alert [Deribit] 🧱🧱 

JUN(24) $2,600 Puts bought 250 @ 0.0685 ETH($194.64); Total=17.1250 ETH($48… https://t.co/XgsADvBBjP"
101,['NEGATIVE'],[0.9981635212898254],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: Grandpa Ape #4620 (Rank: #4010) bought for 0.615 ETH on OpenSea 🌊 https://t.co/rm2UMWtavh 
 #GACC #GrandpaApeCountryClub…"
102,['POSITIVE'],[0.8634939789772034],0.0,0.231,0.769,0.6249,"🎉 We are excited to officially announce the $YUGA Token Sale

$YUGA will be available now on… https://t.co/P4y9JCXffS"
103,['NEGATIVE'],[0.9813656806945801],0.0,0.0,1.0,0.0,"@CryptoWendyO @Dagnum_PI @CryptoWendyO $DAG, #Hathor, are decentralized complete coins. Hathor already does everyth… https://t.co/oHWvtzquCT"
104,['NEGATIVE'],[0.9991899132728577],0.121,0.0,0.879,-0.296,"@jimmy_hippo @ibertario @wsheeep Because it was a malicious hardfork, no replay protection, the transaction could p… https://t.co/46gJmvPs0T"
105,['NEGATIVE'],[0.9889718890190125],0.0,0.0,1.0,0.0,"当恐惧再次出现时，长期持有者和短期持有者都在做着他们擅长做的事
#Bitcoin 

这又是短持亏损卖出长持买入的故事

实时数据：https://t.co/gjFSFb5Qew https://t.co/fkIeB08qIZ"
106,['NEGATIVE'],[0.9897206425666809],0.0,0.0,1.0,0.0,"RT @ggToyCompany1: ⚡️#NFTgiveaway ⚡️

1X $5000 $ETH
1X @postmalone #FunkoPop #toy
1X @steveaoki #Pop 
1X @Eminem #Pop 
1X #NFT

Webstore ht…"
107,['NEGATIVE'],[0.9132676124572754],0.0,0.0,1.0,0.0,RT @DanjaminDW: CC: @paultenhaken @KristiNoem
108,['NEGATIVE'],[0.9861634373664856],0.0,0.205,0.795,0.4767,"RT @dewileth: $20 $ETH | Two Winners

❤️, RT, Follow (🔔)"
109,['NEGATIVE'],[0.9945921301841736],0.0,0.0,1.0,0.0,"RT @nft_finley: .@KingHenry_2 you should make this you #NewNFTProfilePic.

Let me know. I’ll transfer to your $ETH wallet.

Minted on @Foun…"
110,['NEGATIVE'],[0.979525089263916],0.0,0.0,1.0,0.0,"RT @SMNF_com: エルサルバドルのビットコイン実験が成功せず、地元の(現地)人々は暗号よりも現金を信頼し続けているとの調査結果が発表された
⁦@daitojimari⁩  https://t.co/0rINpJEpro"
111,['NEGATIVE'],[0.9969425797462463],0.0,0.0,1.0,0.0,Space Rider #2021 bought for 0.04 ETH on OpenSea 🌊 https://t.co/8NsbwOPHVX
112,['NEGATIVE'],[0.9304538369178772],0.0,0.0,1.0,0.0,RT @KienPhuong2: @Jedi_Jess9 @1goonrich @GenosV2 in the future will be the governance token for the #Doken ecosystem! In my opinion the nex…
113,['NEGATIVE'],[0.9975213408470154],0.081,0.114,0.805,0.2225,"RT @eshaghfathi: I’m giving $22,000 in $APE or $eth to the first 2200 people who follows and retweets!!

Drop your #ETH wallet address"
114,['NEGATIVE'],[0.9975626468658447],0.048,0.13,0.822,0.5267,"RT @0xHustler: I’ll pay a random person’s rent on 5/1/22 who retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be fo…"
115,['NEGATIVE'],[0.9976625442504883],0.149,0.0,0.851,-0.2732,"RT @TIMUS_NFT: Drop your $ETH wallets👀
I'll send $500💸"
116,['NEGATIVE'],[0.957728385925293],0.0,0.0,1.0,0.0,"RT @charlesadler: Bank of Canada rebukes claims Poilievre has made on inflation, cryptocurrency. BOC Gov has facts on his side. If you boug…"
117,['NEGATIVE'],[0.9909913539886475],0.0,0.0,1.0,0.0,@HortiDogsNFT https://t.co/EvM07X8QPN
118,['NEGATIVE'],[0.6179724931716919],0.0,0.22,0.78,0.7345,"RT @atNFTART: 🎁GIVEAWAY!🎁

Prizes:
🏆 $50 #ETH #Solana
🏆 3x Moonlight Birdy #NFT

To Enter:
1⃣Follow @MoonlightBirdy_ &amp; @atNFTART
2⃣RT, LIKE…"
119,['POSITIVE'],[0.5207127928733826],0.058,0.337,0.604,0.911,"RT @RealMoneyApe: WIN 0.02 $ETH | 48H🔥

To help you get a hold of a FREE @BEANS_nfts pet on 4/27 we are giving 0.02 ETH!
You'll need it to…"
120,['POSITIVE'],[0.9380164742469788],0.095,0.0,0.905,-0.296,"RT @naridarbandi: In case you missed it

These pieces still available in my “Everday;Memories” collection on @opensea for sale.

You can sa…"
121,['NEGATIVE'],[0.9872204661369324],0.062,0.0,0.938,-0.0516,"RT @Seasonal_Tokens: Financial authorities have been cautious about #Bitcoin and #Cryptocurrency, but many people in the industry believe t…"
122,['POSITIVE'],[0.9996715784072876],0.0,0.434,0.566,0.93,"I wish this project success sir, and they become one of the best cryptos, I am enthusiastic to participate in this… https://t.co/6QKWdYp5xK"
123,['NEGATIVE'],[0.9973213076591492],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: M1 Mutant Serum bought for 0.21 ETH on OpenSea 🌊 https://t.co/191s17Lzhd 
 #GACC #MACC #GrandpaApeCountryClub #MutantApeC…"
124,['NEGATIVE'],[0.997722327709198],0.153,0.0,0.847,-0.4404,"India digital currency regulations aftermath: Frozen payments, Bitcoin brain drain, traders’ woes and more … tradin… https://t.co/grHHBKsA86"
125,['NEGATIVE'],[0.9938795566558838],0.092,0.296,0.612,0.7177,"RT @frodlit: 🎁GIVEAWAY !🎁

Prizes
🏆50$ in ETH
🏆10 WL

1️⃣Follow @nftvinyls
2⃣Retweet &amp; like
3️⃣Join their Discord: https://t.co/NdSEQUmkEE…"
126,['NEGATIVE'],[0.9434464573860168],0.0,0.248,0.752,0.7639,"RT @RaritySniperNFT: Giveaway! 🎉‍
‍
We are giving away 12x PSILO NFTs from @psilonft, worth ~1 ETH! 🤖
‍
To enter:‍
1. Follow @RaritySniperN…"
